"PLAYER_FULL_NAME","injury_status","injury_date"
"Andrew Bogut","Day-To-Day","Nov 23"
"Anthony Davis","Day-To-Day","Nov 23"
"Brandon Rush","Out","Nov 21"
"C.J. Miles","Out","Nov 24"
"Cameron Payne","Out","Nov 23"
"Caris LeVert","Out","Nov 21"
"Chandler Parsons","Out","Nov 20"
"Christian Wood","Day-To-Day","Nov 22"
"Cody Zeller","Out","Nov 24"
"D'Angelo Russell","Out","Nov 23"
"Danilo Gallinari","Day-To-Day","Nov 24"
"Dante Cunningham","Day-To-Day","Nov 23"
"Darrell Arthur","Out","Nov 23"
"DeMarre Carroll","Day-To-Day","Nov 21"
"Deron Williams","Day-To-Day","Nov 23"
"Devin Booker","Day-To-Day","Nov 21"
"Devin Harris","Out","Nov 22"
"Dewayne Dedmon","Out","Nov 22"
"Dion Waiters","Day-To-Day","Nov 24"
"Dirk Nowitzki","Out","Nov 24"
"Doug McDermott","Out","Nov 22"
"Draymond Green","Day-To-Day","Nov 24"
"Dwyane Wade","Day-To-Day","Nov 20"
"Ersan Ilyasova","Day-To-Day","Nov 21"
"Gary Harris","Out","Nov 23"
"Gerald Henderson","Day-To-Day","Nov 23"
"Goran Dragic","Day-To-Day","Nov 24"
"Ian Mahinmi","Out","Nov 21"
"Jae Crowder","Day-To-Day","Nov 23"
"James Ennis","Out","Nov 22"
"Jeff Teague","Day-To-Day","Nov 21"
"Jeremy Lamb","Out","Nov 23"
"Jeremy Lin","Out","Nov 23"
"Jerryd Bayless","Out","Nov 22"
"Joakim Noah","Day-To-Day","Nov 24"
"Joe Young","Day-To-Day","Nov 23"
"Joel Embiid","Day-To-Day","Nov 24"
"Juancho Hernangomez","Day-To-Day","Nov 23"
"Julius Randle","Day-To-Day","Nov 23"
"Justise Winslow","Out","Nov 24"
"Kevin Seraphin","Day-To-Day","Nov 24"
"Kyle Korver","Day-To-Day","Nov 23"
"LaMarcus Aldridge","Day-To-Day","Nov 21"
"Lance Thomas","Out","Nov 24"
"Markieff Morris","Day-To-Day","Nov 22"
"Mike Miller","Out","Nov 24"
"Myles Turner","Day-To-Day","Nov 23"
"Nicolas Laprovittola","Day-To-Day","Nov 21"
"Paul George","Out","Nov 24"
"Paul Zipser","Day-To-Day","Nov 22"
"Rajon Rondo","Day-To-Day","Nov 20"
"Reggie Bullock","Day-To-Day","Nov 23"
"Reggie Jackson","Out","Nov 23"
"Richaun Holmes","Day-To-Day","Nov 23"
"Rondae Hollis-Jefferson","Day-To-Day","Nov 23"
"Semaj Christon","Day-To-Day","Nov 21"
"Terrence Jones","Day-To-Day","Nov 23"
"Thabo Sefolosha","Day-To-Day","Nov 21"
"TJ Warren","Out","Nov 23"
"Tony Allen","Day-To-Day","Nov 22"
"Tony Parker","Day-To-Day","Nov 21"
"Treveon Graham","Out","Nov 23"
"Tyreke Evans","Out","Nov 21"
"Tyson Chandler","Day-To-Day","Nov 22"
"Wayne Ellington","Out","Nov 24"
"Wesley Johnson","Out","Nov 21"
"Will Barton","Out","Nov 20"
"Willie Reed","Day-To-Day","Nov 22"
