"DATE","home_team_name_538","home_team_prob_win_538","home_team_name"
2020-02-04,"Pelicans",0.52,"New Orleans"
2020-02-04,"Rockets",0.94,"Houston"
2020-02-04,"Nuggets",0.76,"Denver"
2020-02-04,"Lakers",0.88,"LA Lakers"
2020-02-05,"Pistons",0.42,"Detroit"
2020-02-05,"Nets",0.66,"Brooklyn"
2020-02-05,"Raptors",0.72,"Toronto"
2020-02-05,"Celtics",0.63,"Boston"
2020-02-05,"Timberwolves",0.77,"Minnesota"
2020-02-05,"Thunder",0.88,"Oklahoma City"
2020-02-05,"Mavericks",0.72,"Dallas"
2020-02-05,"Jazz",0.74,"Utah"
2020-02-05,"Clippers",0.83,"LA Clippers"
2020-02-06,"Knicks",0.41,"New York"
2020-02-06,"Bulls",0.36,"Chicago"
2020-02-06,"Bucks",0.65,"Milwaukee"
2020-02-06,"Lakers",0.67,"LA Lakers"
2020-02-07,"Wizards",0.45,"Washington"
2020-02-07,"76ers",0.82,"Philadelphia"
2020-02-07,"Celtics",0.86,"Boston"
2020-02-07,"Thunder",0.86,"Oklahoma City"
2020-02-07,"Pacers",0.53,"Indiana"
2020-02-07,"Suns",0.46,"Phoenix"
2020-02-07,"Kings",0.58,"Sacramento"
2020-02-07,"Jazz",0.82,"Utah"
2020-02-08,"Magic",0.39,"Orlando"
2020-02-08,"Hornets",0.38,"Charlotte"
2020-02-08,"Pistons",0.65,"Detroit"
2020-02-08,"Raptors",0.84,"Toronto"
2020-02-08,"Pacers",0.52,"Indiana"
2020-02-08,"Timberwolves",0.38,"Minnesota"
2020-02-08,"Warriors",0.2,"Golden State"
2020-02-08,"Suns",0.41,"Phoenix"
2020-02-08,"Kings",0.61,"Sacramento"
2020-02-09,"Thunder",0.52,"Oklahoma City"
2020-02-09,"76ers",0.9,"Philadelphia"
2020-02-09,"Wizards",0.55,"Washington"
2020-02-09,"Hawks",0.81,"Atlanta"
2020-02-09,"Rockets",0.76,"Houston"
2020-02-09,"Cavaliers",0.2,"Cleveland"
2020-02-10,"Magic",0.8,"Orlando"
2020-02-10,"Pacers",0.79,"Indiana"
2020-02-10,"Pistons",0.7,"Detroit"
2020-02-10,"Raptors",0.77,"Toronto"
2020-02-10,"Bucks",0.83,"Milwaukee"
2020-02-10,"Mavericks",0.61,"Dallas"
2020-02-10,"Nuggets",0.84,"Denver"
2020-02-10,"Warriors",0.44,"Golden State"
2020-02-10,"Lakers",0.83,"LA Lakers"
2020-02-03,"Pacers",0.64,"Indiana"
2020-02-03,"Wizards",0.7,"Washington"
2020-02-03,"Cavaliers",0.67,"Cleveland"
2020-02-03,"Hornets",0.36,"Charlotte"
2020-02-03,"Hawks",0.51,"Atlanta"
2020-02-03,"Heat",0.48,"Miami"
2020-02-03,"Nets",0.6,"Brooklyn"
2020-02-03,"Grizzlies",0.8,"Memphis"
2020-02-03,"Kings",0.58,"Sacramento"
2020-02-03,"Clippers",0.88,"LA Clippers"
2020-02-02,"Pistons",0.36,"Detroit"
2020-02-02,"Rockets",0.72,"Houston"
2020-02-02,"Bucks",0.88,"Milwaukee"
2020-02-02,"Raptors",0.89,"Toronto"
2020-02-01,"Clippers",0.84,"LA Clippers"
2020-02-01,"Magic",0.65,"Orlando"
2020-02-01,"Pacers",0.89,"Indiana"
2020-02-01,"Wizards",0.62,"Washington"
2020-02-01,"Cavaliers",0.64,"Cleveland"
2020-02-01,"Mavericks",0.76,"Dallas"
2020-02-01,"Celtics",0.42,"Boston"
2020-02-01,"Spurs",0.79,"San Antonio"
2020-02-01,"Kings",0.43,"Sacramento"
2020-01-31,"Pistons",0.42,"Detroit"
2020-01-31,"Nets",0.8,"Brooklyn"
2020-01-31,"Rockets",0.76,"Houston"
2020-01-31,"Pelicans",0.84,"New Orleans"
2020-01-31,"Bucks",0.81,"Milwaukee"
2020-01-31,"Suns",0.53,"Phoenix"
2020-01-31,"Lakers",0.85,"LA Lakers"
2020-01-30,"Wizards",0.77,"Washington"
2020-01-30,"Cavaliers",0.33,"Cleveland"
2020-01-30,"Hawks",0.34,"Atlanta"
2020-01-30,"Celtics",0.84,"Boston"
2020-01-30,"Clippers",0.88,"LA Clippers"
2020-01-30,"Nuggets",0.68,"Denver"
2020-01-29,"Pacers",0.82,"Indiana"
2020-01-29,"Nets",0.8,"Brooklyn"
2020-01-29,"Knicks",0.48,"New York"
2020-01-29,"Spurs",0.36,"San Antonio"
2020-01-29,"Kings",0.51,"Sacramento"
2020-01-28,"76ers",0.89,"Philadelphia"
2020-01-28,"Hornets",0.62,"Charlotte"
2020-01-28,"Raptors",0.9,"Toronto"
2020-01-28,"Cavaliers",0.26,"Cleveland"
2020-01-28,"Heat",0.49,"Miami"
2020-01-28,"Grizzlies",0.48,"Memphis"
2020-01-28,"Bucks",0.8,"Milwaukee"
2020-01-28,"Mavericks",0.73,"Dallas"
